Timestamp,Minute,Game Phase,Post,Post Size,Team,Notes,Highlight?,Status,Notes
4/14/2026 19:45:36,-31,Pre-Game,ATLTUD vs Chattanooga,21,,,,,
4/19/2026 12:03:02,,Pre-Game,"Officiating crew
Ref: Allen Chapman
AR: Richardson
AR: Pilgrim
4th: Boiko
VAR: Dujic",84,,,,,
4/19/2026 11:47:17,,Pre-Game,"Starting Lineup:
GK: Hoyos
D: Báez, Mihaj, Gregersen, Jacob
M: Muyumba, Báez, Mihaj
F: Galarza, Latte Lath, Miranchuk",117,,,,,
4/19/2026 11:48:24,,Pre-Game,"Surpise that Fortune is starting, more surprised that Muyumba is also starting.  I would have expected Fortune to take Muyumba's spot",133,,,,,
4/19/2026 11:48:40,,Pre-Game,Glarza has pushed up to cover for the injured Almirón,53,,,,,
4/19/2026 11:52:18,,Pre-Game,"Nashville make a lot of changes after their concacaff midweek game, beating Club America in Mexico",98,,,,,
4/19/2026 12:05:33,,Start 1st Half,ball is rolling,15,,,,,
4/19/2026 12:05:42,0,1st Half,Nashville kicks off,19,,,,,
4/19/2026 12:06:33,1,1st Half,ATLUTD start possession off by passing between Hoyos and the back line,70,,ATLUTD start off to retain possession and be defensive.,yes,,
4/19/2026 12:07:20,2,1st Half,Gregersen takes down Madrigal,29,,,,,
4/19/2026 12:08:14,3,1st Half,ATLUTD most interested in keepaway - keeping the ball from Nashville,69,,,yes,,
4/19/2026 12:08:36,3,1st Half,"HARD tackle.  Nájar takes down Galarza from behind, who goes flipping around",76,,,yes,,
4/19/2026 12:10:10,5,1st Half,"Miranchuk takes a shot, deflected high.  ELL rushes forward.  offsides",70,,first shot,,,
4/19/2026 12:10:38,5,1st Half,"Muyumba dribbles up pitch, level with Fortune",45,,,,,
4/19/2026 12:10:55,5,1st Half,Nashville on the front foot,27,,,yes,,
4/19/2026 12:11:15,6,1st Half,"cooper nearly stripped of the ball at the top of the box.  Passed to Muyumba, cleared",85,,,,,
4/19/2026 12:11:49,6,1st Half,"Nasville probing, moving the ball from right to left",52,,,,,
4/19/2026 12:11:56,6,1st Half,Báez cuts off a long through ball,33,,,,,
4/19/2026 12:12:05,7,1st Half,ATLUTD pinned back into their half,34,,"at home, 7th min, already pinned back",yes,,
4/19/2026 12:13:58,8,1st Half,Game is slowing down.  Teams feeling each other out,51,,"frantic first 5 min, has slowed down",,,
4/19/2026 12:14:21,9,1st Half,"Muyumba  rushes forward, nearly strips Nashville over the ball.  he's trying hard tonight",89,,,,,
4/19/2026 12:15:18,10,1st Half,atlanta's long balls are not connecting,39,,,yes,,
4/19/2026 12:16:22,11,1st Half,"ELL pulls the ball backwards, passes to Báez.  Floating ball back into the box for ELL.  GK catches",94,,,,,
4/19/2026 12:17:19,12,1st Half,Tomás does well to break up a play in midfield,46,,,,,
4/19/2026 12:17:40,12,1st Half,Miranchuk splits two Nashville players.  beautiful footwork,59,,,yes,,
4/19/2026 12:19:01,13,1st Half,ATLUTD choosing moments to explode forward,42,,"Atlanta trying the tactic it faced against Chicago - absorb pressure, then attack.  But Atlanta doesn't have the quality in attack.",yes,,
4/19/2026 12:20:05,15,1st Half,"Nájar running into the box, gets the ball and shoots from the 6.  Hoyos blocks.  Shoots again, over.",100,,,yes,,
4/19/2026 12:21:57,16,1st Half,"Woledzi down for nashville, during the corner.  possible head injury.  Yeah, he and Mihiaj collide.",99,,,,,
4/19/2026 12:23:10,18,1st Half,game resumes,12,,,,,
4/19/2026 12:24:08,19,1st Half,ATLUTD with slow buildup.  just want to retain possession,57,,,,,
4/19/2026 12:24:52,19,1st Half,Fortune seemingly given free reign in the middle and sides.,59,,,yes,,
4/19/2026 12:25:04,20,1st Half,"jacob tries crossing from the right, over hits it out.",54,,,,,
4/19/2026 12:25:52,20,1st Half,"jacob with another cross in.  Ball pinballs between Miranchuk, jacob, Fortune.",78,,,,,
4/19/2026 12:26:33,21,1st Half,Mihaj is the steady pressence in the back.,42,,,,,
