Timestamp,Minute,Game Phase,Post,Post Size,Team,Notes,Highlight?,Status,Notes2
4/25/2026 12:53:09,,Pre-Game,"ATLUTD vs Toronto, in Toronto",29,,,,,
4/25/2026 12:48:57,,Pre-Game,"A much rotated side today.  With thoughts of the US Open Cup game this week
6 changes from the previous game",108,,,,,
4/25/2026 12:53:13,,Pre-Game,"ATLUTD starters:
Hoyos, Báez, Gregersen, Berrocal
Muyumba, Brennan, Togashi, Fortune, Edwards, Sanchez, Miranchuk",113,,,,,
4/25/2026 12:53:14,,Pre-Game,"3rd straight game without Latte Lath starting
First time this year Gregersen and Berrocal start together",104,,Was the message received?,,,
4/25/2026 13:01:19,,Pre-Game,"Toronto in a 5-3-2
Franklin, Monlouis, Coello, Kuscevic, Edwards
Cifuentes, Osorio, Sallói, Aristizábal, Sargent",112,,,,,
4/25/2026 13:01:59,,Pre-Game,ATLUTD have only won once here,30,,now twice,,,
4/25/2026 13:02:44,,Pre-Game,"Weather is cold and rainy.  43 degrees, light rain",50,,the cold rain played a factor for atlanta,,,
4/25/2026 13:03:02,,Pre-Game,Togashi - I'm looking to see his off the ball movement.,55,,,,,
4/25/2026 13:09:36,,Pre-Game,Ref:  Ismail Elfath,19,,,,,
4/25/2026 13:11:59,,Start 1st Half,ball is kicked,14,,,,,
4/25/2026 13:12:42,1,1st Half,"Edwards up pitch, Toronto clear it.",35,,,,,
4/25/2026 13:13:39,2,1st Half,ATLUTD get briefly into the box,31,,,,,
4/25/2026 13:14:03,2,1st Half,Ball pinballing all over in ATLUTD's half.  Edwards blocks Sargent off the ball,79,,,,,
4/25/2026 13:14:55,3,1st Half,Toronto playing slow from the back.  Togashi and Miranchuk pressing,67,,,,,
4/25/2026 13:15:37,4,1st Half,The game has been going out for a lot of throws,47,,,,,
4/25/2026 13:16:34,5,1st Half,Toronto trying to build from the back.  ATLUTD pressuring.  Atlanta regain control,82,,1st minutes show attacking thoughts,yes,,
4/25/2026 13:17:20,5,1st Half,"Long up ball up to Brennan.  He lost it, but Muyumba recovers.",62,,,,,
4/25/2026 13:17:33,6,1st Half,Fortune getting ot the ball.  Atlanta scrambles but keeps the balll.,68,,,,,
4/25/2026 13:17:46,6,1st Half,Gregersen over passes - out for throw-in,40,,a lot of overpassing today,,,
4/25/2026 13:18:29,7,1st Half,Aristizábal goes in hard against Berrocal.  First free kick of the night,72,,,,,
4/25/2026 13:19:11,7,1st Half,ATLUTD's turn to build slowly from the back,43,,,,,
4/25/2026 13:19:44,8,1st Half,Ref called a foul on Miranchuk,30,,,,,
4/25/2026 13:21:19,9,1st Half,ATLUTD pushed back to the 18,28,,,,,
4/25/2026 13:21:32,10,1st Half,"A clearance to Miranchuk headed up in front of Togashi - good ball, too far",75,,,,,
4/25/2026 13:22:06,10,1st Half,Edwards cross into the box.  Brennan able to get a shot in under pressure.  Goes wide for a corner,98,,,,,
4/25/2026 13:22:47,11,1st Half,Sanchez over the top.  Past Togashi,35,,Atlanta was trying to pass in front of the front-player,,,
4/25/2026 13:23:50,12,1st Half,Good passing from Atlanta to get the ball to Togashi.  But he's closed down by 3 players,88,,,,,
4/25/2026 13:23:58,12,1st Half,Fortune taking the corner,25,,,,,
4/25/2026 13:24:32,13,1st Half,Berrocal and Gregersen both go for the header but Toronto clears,64,,miscommunication on the corner - they haven't played together,,,
4/25/2026 13:25:24,13,1st Half,Aristizábal slaloms through the center of the pitch before Hoyos is able to retrieve.,85,,,yes,,
4/25/2026 13:26:46,15,1st Half,too much room between the back line and midfield.  Toronto getting in,69,,,yes,,
4/25/2026 13:27:14,15,1st Half,Sanchez knocks Osorio from behind.  Slowed down the play,56,,,,,
4/25/2026 13:27:43,16,1st Half,Brennan does well to come back and get the ball.,48,,Luke was better in defensive moments,,,
4/25/2026 13:28:24,16,1st Half,"Ball is worked up the left, comes in center for Fortune - shot - goes over.  The Atlanta attack is looking more coordinated.",124,,structured team play was evident,yes,,
4/25/2026 13:30:00,18,1st Half,"Franklin gets the ball on the right, to Aristizábal who chips it over Hoyos to the far side.  Ball close to being out but isn't - comes back in  - went off Edwards.  It's then cleared",183,,danger!,,,
4/25/2026 13:30:36,19,1st Half,Toronto player down getting treatment.  Off the ball.  Kuscevic,63,,first player down,,,
4/25/2026 13:31:05,19,1st Half,Toronto making a sub - Stefanović (age 18) will be coming on,60,,,,,
4/25/2026 13:32:09,20,1st Half,Berrocol unable to clear it past the first man.,47,,,,,
4/25/2026 13:32:19,20,1st Half,Neither ATLUTD or Toronto able to get the ball under control,60,,caused by wet pitch,,,
4/25/2026 13:32:42,21,1st Half,When ATLUTD get the ball under control - it's keeping the ball in Tortonto's half,81,,,,,
4/25/2026 13:33:15,21,1st Half,ATLUTD attempting a lot of long balls - but specifically to the wings,69,,this was a change in tactics,,,
4/25/2026 13:34:04,22,1st Half,"Hoyos kick to Miranchuk, up to Togashi.  He takes it into the box, shot, score!  ATLUTD 1-0",79,,Togashi was off in this call,yes,,
4/25/2026 13:34:31,23,1st Half,Togashi hurt his ankle on that play,35,,rolled his ankle,,,
4/25/2026 13:34:31,,1st Half,"He tried walking, but goes back down",36,,,,,
4/25/2026 13:34:31,23,1st Half,VAR is now looking at an offsides,33,,,,,
4/25/2026 13:34:31,23,1st Half,VAR decides that Togashi is deemed offsides.  Game still 0-0,60,,,,,
4/25/2026 13:34:31,23,1st Half,Togashi really hurting,22,,,,,
4/25/2026 13:34:31,23,1st Half,Togashi goes back down,22,,,,,
4/25/2026 13:38:14,26,1st Half,Latte Lath is going to have to come on,38,,Surely ELL would get the message - his spot is under threat,,,
4/25/2026 13:39:05,27,1st Half,"ATLUTD sub
off: Togashi
on: Latte Lath",38,,,,,
4/25/2026 13:39:25,27,1st Half,Hoyos kick to midfield.  o13 knocks down Latte Lath,51,,,,,
4/25/2026 13:39:28,27,1st Half,Another Toronto player down off the ball - Cifuentes,52,,next sub,,,
4/25/2026 13:40:26,28,1st Half,Toronto making a sub.  Former Five Stripe Etienne Jr. coming on,63,,,yes,,
4/25/2026 13:41:37,30,1st Half,Toronto will have to change their shape with the sub,52,,,,,
4/25/2026 13:42:03,30,1st Half,Saba works hard and strips a Toronto defender ball.,51,,,,,
