Timestamp,Minute,Game Phase,Post,Post Size,Score,Notes,Highlight?,Status
5/24/2026 8:47:51,,Pre-Game,ATLUTD vs Columbus Crew,23,,,,
5/24/2026 8:21:13,,Pre-Game,https://www.mlssoccer.com/competitions/mls-regular-season/2026/matches/clbvsatl-05-24-2026,90,,,,
5/24/2026 16:29:30,,Pre-Game,"Officials
Ref: Chris Penso",26,,,,
5/24/2026 16:28:56,,Pre-Game,"Atlanta Line up:
GK:  Hoyos
DF: Báez, Berrocal, Mihaj, Jacob
MF: Fortune, Muyumba, Sanchez
F: Brennan, Miranchuk, Saba",118,,,,
5/24/2026 16:31:24,,Pre-Game,"Chris Henderson:  
we'll have to see how the outgoing happens.  tonight is an important night for players.  Am I here, am I making a difference.  
we do have some flexibility.
if things don't work out with Galarza, Berrocal.
there will be a couple of closed-door games to warm up for the 2nd half",296,,,,
5/24/2026 16:40:58,,Pre-Game,The last match before the World Cup Break,41,,,,
5/24/2026 17:12:45,,Start 1st Half,start,5,,,,
5/24/2026 17:13:57,1,1st Half,"From the start, Crew pulled the ball back defensively.  Took over a minute to get tehe ball into Atlanta's half.",112,,,,
5/24/2026 17:14:59,2,1st Half,this looks like it'll be a slower game than the last couple Atlanta took part in.,81,,,,
5/24/2026 17:16:57,4,1st Half,game has been played in the middle 3rd.  neither team has pushed into the opponent's box,88,,,,
5/24/2026 17:18:55,6,1st Half,Atlanta are focused on not wanting to give up a goal. Trying not to lose.,73,,,,
5/24/2026 17:19:14,6,1st Half,"Crew are into the Atlanta box, first of the night.  And get a cross ijn.",72,,,,
5/24/2026 17:19:30,7,1st Half,Darlington Nagbe spotted on the Columbus bench as an assistant coach.  Only for a few weeks during the coaching change.  He didn't want to do the travel required to keep the job longer.,185,,,,
5/24/2026 17:20:53,8,1st Half,Crew shot - collected by Hoyos,30,,,,
5/24/2026 17:22:26,10,1st Half,Not much collective control by either team.  No single player on Atlanta side has stood out.,92,,,,
5/24/2026 17:23:01,10,1st Half,Rossi was taken down inside the box by Berrocal.  No foul.,58,,,,
5/24/2026 17:24:33,12,1st Half,"Crew switch to left, Arfsten takes a shot.  Goes wide right.",60,,,,
5/24/2026 17:26:15,14,1st Half,Last few min has been all Columbus.  ATLUTD haven't gotten into Columbus half for a while.,90,,,,
5/24/2026 17:27:57,15,1st Half,"Gazdag comes down the right, is stripped by Báez.  But he and Rossi are able to ge the ball into the center.  Header over the bar.",130,,,,
5/24/2026 17:29:02,16,1st Half,Columbus back bass - read by Brennan - forced an awkward clearance by the keeper high up the pitch.,99,,,,
5/24/2026 17:30:10,17,1st Half,Arfsten down the middle.  Knocked over by Berrocal.  He passes right to Rossi.  Shot goes off the post and back into play.  Cleared out for a corner.,149,,,,
5/24/2026 17:31:20,19,1st Half,"Báez tries crossing to Saba.  It goes over, but Tata claps the attempt.",71,,,,
5/24/2026 17:32:31,20,1st Half,"Moreira trying to clear the ball, under pressure by Brennan.  He and Báez force the ball out.",93,,,,
5/24/2026 17:33:09,20,1st Half,ATLUTD's pressure has been pushing higher into the Columbus half.,65,,,,
5/24/2026 17:34:27,22,1st Half,"Jacob long ball over to Brenenan.  He passes back to Sanchez.  It's broken up, but much better from Atlanta.",108,,,,
5/24/2026 17:35:30,23,1st Half,"Columbus keeper clears.  It's read by Jacob.  He rushes forward, and is taken down just outside the box.  Zawadzki sees 🟨 for the challenge.  Atlanta free kick.",161,,,,
5/24/2026 17:36:03,23,1st Half,Saba takes it.  Doesn't get past the front line.,48,,,,
5/24/2026 17:36:42,24,1st Half,"Columbus break off the free kick, with a 4-1.  Pinballing left and right, the lone defender has no chance.  Tap in.",115,Columbus 1-0,,,
5/24/2026 17:37:10,24,1st Half,Bangoura with the final goal - there is a question of offsides.,63,,,,
5/24/2026 17:39:18,27,1st Half,Goal was upheld.,16,,,,
5/24/2026 17:39:25,27,1st Half,Atlanta try going lohng.  Brennan nearly gets there.,52,,,,
5/24/2026 17:39:33,27,1st Half,more warning signs has Columbus attack in numbers.,50,,,,
