Timestamp,Minute,Game Phase,Post,Post Size,Score,Notes,Highlight?,Status
7/17/2026 21:18:29,-31,Pre-Game,ATLUTD vs Nashville,19,,,,
7/17/2026 21:26:40,-23,Pre-Game,first matchday after World Cup break,36,,,,
7/17/2026 21:27:29,-22,Pre-Game,"Nashville are first in the standing.  +20GD, 33 PTS, 10 wins, 1 L, 3 T
1 loss in 14 matches",91,,,,
7/17/2026 21:28:20,-21,Pre-Game,"Atlanta are 14th - 11 points, 3 win, 9 L, 2 D, with a -9 GD
6 road losses this season",85,,,,
7/17/2026 21:36:35,-13,Pre-Game,Sam Surridge in his first game since April,42,,,,
7/17/2026 21:40:41,-9,Pre-Game,"Nashville Availability:
Unavailable
Chris Applewhite (International Duty), Patrick Yazbek (Lower Body)
Questionable
Reed Baker-Whiting (Lower Body), Cristian Espinoza (Lower Body), Warren Madrigal (Lower Body), Andy Nája (Lower Body), Jeisson Palacios (Lower Body), Eddi Tagseth (Lower Body)",294,,,,
7/17/2026 21:40:57,-9,Pre-Game,"Atlanta Availability:
Unavailable
Júnior Alonso (Visa Process), Paulo Díaz (Visa Process), Sergio Santos (Calf)
Questionable
Stian Gregersen (Quadriceps)",156,,,,
7/17/2026 21:42:13,-8,Pre-Game,"Atlanta does go with Miranchuk at the top in place of Latte Lath.  
Surprising is that Luke Brennan is on the left.  He really needs to have a good game.  He's been playing his way out of contention lately.
Fortune, Muyumba, Sanchez in the middle.
In the back: Báez, Mihaj, Jacob ( CB ), and Edwards with the start on the right.
Hoyos in goal.
Adrián Gill is on the bench.  As is Suarez-Couri temporarily.",405,,,,
7/17/2026 21:48:01,-2,Pre-Game,Atlanta wearing black.  Nashville in their 🟨,45,,,,
7/17/2026 21:48:56,-1,Pre-Game,"Refs:
Ref: Filip Dujic
AR: Cameron Blanchard
AR: Jeffrey Swartzel
4th: Lorenzo Hernández
VAR: Younes Marrakchi, Tom Supple",122,,,,
7/17/2026 21:49:46,0,Start 1st Half,start,5,,,,
7/17/2026 21:50:34,1,1st Half,"Atlanta are doing long, leading passes, but playing safe - keeping the ball completely away from Nashville",106,,,,
7/17/2026 21:51:21,2,1st Half,Almirón and Brennan have already switched sides,47,,,,
7/17/2026 21:52:08,2,1st Half,Edwards getting up higher than his normal,41,,,,
7/17/2026 21:53:06,3,1st Half,Miranchuk and Brennan appear to be overlapping,46,,,,
7/17/2026 21:54:12,4,1st Half,Nashville having difficulty keeping the ball in atlanta's half,62,,,,
7/17/2026 21:55:30,6,1st Half,"opening 5 min, Atlanta have controlled the game.  Nashville don't look overly concerned or frantic.",99,,,,
7/17/2026 21:56:56,7,1st Half,Nashville have the ball - Atlanta immediately pull everyone into their half to prevent progress,95,,,,
7/17/2026 21:57:37,8,1st Half,"Fortune with a very nice spin move to send a ball up the left to Almirón.  
But coming out of the spin, the pulls up.  Doesn't look good.  Almirón continues and gets a shot off.
I can't tell yet, but I'm positive Fortune tweaked something there",244,,could be critical play,,
7/17/2026 21:58:56,9,1st Half,Fortune just went down off the ball.  Holding his hamstring.,60,,,,
7/17/2026 21:59:53,10,1st Half,Will Reilly is warming up,25,,,,
7/17/2026 22:01:14,11,1st Half,"Atlanta bunkering, waiting on Reilly to come on..  And Almirón just sat down on the pitch.",90,,,,
7/17/2026 22:01:55,12,1st Half,"Miggy stayed down just long enough to allow the Atlanta sub - Reilly has entered play.
Almirón with the dark arts, in our favor.",128,,,,
7/17/2026 22:02:32,13,1st Half,Nashville have turned things up a notch.,40,,,,
