Timestamp,Minute,Game Phase,Post,Post Size,Score,Notes,Highlight?,Status
7/17/2026 21:18:29,,Pre-Game,ATLUTD vs New England,21,,,,
7/26/2026 8:54:20,,Pre-Game,"New England Availability:
OUT: Leo Campana (lower body)
OUT: Andrew Farrell (lower body)
OUT: Ilay Feingold (lower body)",122,,,,
7/26/2026 8:54:22,,Pre-Game,"Atlanta Availability:
Paulo Díaz - Visa Process - Out
Jay Fortune - Hamstring - Out
Tomás Jacob - 🟨 Card Suspension - Out
Sergio Santos - Calf - Out
Tata Martino - 🟨 Card Suspension - Out - J. Theiler in his place",215,,,,
7/26/2026 8:56:10,,Pre-Game,"Atlanta United record/home/away: 3-10-3/2-5-1/1-5-2
New England record/home/away: 8-5-2/7-1-1/1-4-1",100,,,,
7/26/2026 8:56:37,,Pre-Game,"Atlanta United: LDLLD
New England: WLWLD",41,,,,
7/17/2026 21:40:41,,Pre-Game,"Officiating crew
Referee: Pierre-Luc Lauziere
Assistants: Ryan Graves, Justin Howard
Fourth official: Alejo Calume
VAR: David Barrie - located in Arlington, TX
AVAR: Joshua Patlak

Same AR's and VAR from Atlanta's game in Nashville",231,,,,
7/17/2026 21:40:57,,Pre-Game,Game time was 2026-07-25T23:40:02.098Z,38,,,,
7/26/2026 9:03:43,,Pre-Game,Atlanta wearing Spirt of 96 kit.  New England wearing blue,58,,,,
7/26/2026 9:04:15,,Pre-Game,Announcing:  Jess Charman - former ATLUTD2 announcer,52,,,,
7/26/2026 9:15:48,,Pre-Game,New England new DP Jack Harrison is in the stadium,50,,,,
7/26/2026 9:23:03,,Pre-Game,Only change this week is Gregersen in place of Mihaj,52,,,,
7/26/2026 9:23:29,,Pre-Game,New England - Carlos Gill is an 2026 MLS All-star,49,,,,
7/26/2026 9:29:46,,Start 1st Half,start,5,,,,
7/26/2026 9:30:07,0,1st Half,Atlanta kick off.  Gregerson and Alonso passing,47,,,,
7/26/2026 9:30:27,1,1st Half,"Báez passes up to Piccault, who taps it to Miggy.  Just outside of his reach.",77,,,,
7/26/2026 9:31:13,1,1st Half,Picault breaks up a play on the left,36,,,,
7/26/2026 9:31:46,2,1st Half,New England free kick.  Wide outside the box.,45,,,,
7/26/2026 9:32:03,2,1st Half,Gill drives the ball into the box.  Foul in the box.  ATLUTD free kick,70,,,,
7/26/2026 9:32:33,3,1st Half,"Atlanta trying to slow things down, holding the ball between Alonso and Gregersen",81,,,,
7/26/2026 9:33:06,3,1st Half,"Almirón on the right, tries to release Báez on the left.  He's shut down quickly by multiple New England players",112,,,,
7/26/2026 9:34:23,5,1st Half,"Muyumba in the back, has trouble finding a target.  STands on the ball.  He runs up pitch and lightly passes to Picault.  It's a bad ball, and Picault is under immediate pressure and loses it.",192,,,,
7/26/2026 9:34:45,5,1st Half,Atlantaare slow to release balls,32,,,,
7/26/2026 9:35:01,5,1st Half,Almirón taking a corner,23,,,,
7/26/2026 9:35:38,6,1st Half,short corner.  New England head it out for another corner,57,,,,
7/26/2026 9:36:13,6,1st Half,Almirón takes it from the right.  New England on the 6 heads it out for another.  It's headed clear.,100,,,,
7/26/2026 9:37:05,7,1st Half,"Alonso with a good read, breaks up a play",41,,,,
7/26/2026 9:37:28,8,1st Half,Miranchuk up the left to Almirón.  He tries to pass back to Miranchuk in the box.  New England swarm.,101,,,,
7/26/2026 9:37:56,8,1st Half,Gregersen breaks up a play.  He's called for a foul at the halfway line.  He absolutely preventing a New England break,118,,,,
7/26/2026 9:39:06,9,1st Half,Almirón released on the left.  he moves the ball centrally,58,,,,
7/26/2026 9:39:21,10,1st Half,Reilly holds up the ball,24,,,,
7/26/2026 9:39:54,10,1st Half,"Almirón tries a shot at the box.  He's falling over as he tries.  It was going badly wide, and hits his own player.",115,,,,
7/26/2026 9:40:13,10,1st Half,"Almirón gest the ball back, his a solid shot.  Turner with the save 🧤",70,,,,
7/26/2026 9:40:49,11,1st Half,"Gill with a long ball well outside the box.  It's a left footed curler.  Beats Hoyos on the left post.
From outside the arc, Gill was initially pressured by Muyumba, but Gill sent Muyumba the wrong way and onto the pitch.  He tapped it central and lined up.  The ball went up and curled to the right.  Hoyos dove for all he was worth.  It was a perfect shot.",358,NE 1-0,,,
7/26/2026 9:43:30,14,1st Half,New England holding onto the ball now.  pulling back to prevent Atlanta from getting the ball.,94,,,,
7/26/2026 9:44:00,14,1st Half,"Almirón with fancy footwork along the left to get and dribble. He passes central, and it's then lost.",101,,,,
7/26/2026 9:44:31,15,1st Half,"Alonso, Reilly, Gregersen forming a misaligned back 3.",54,,,,
7/26/2026 9:44:51,15,1st Half,Alonso long ball to jacob on the right,38,,,,
7/26/2026 9:45:36,16,1st Half,New England player goes down with a head injury.  There was a coming together with Reilly.,90,,,,
7/26/2026 9:46:45,17,1st Half,game resumes,12,,,,
7/26/2026 9:47:12,17,1st Half,Báez sends to Reilly - he's under pressure.  Barely keeps it,60,,,,
7/26/2026 9:47:48,18,1st Half,"Muyumba good ball finds Picault.  He sends it across the 6, but no one is there",79,,,,
7/26/2026 9:48:38,19,1st Half,Muyumba tries to sends  through ball to Almirón.  No one ran.  Not sure they expected it,88,,,,
7/26/2026 9:49:37,20,1st Half,Neither team can keep the ball.,31,,,,
7/26/2026 9:50:39,21,1st Half,"Muyumba tries breaking up a play, he's running towards the ball.  Yusef slides in hard to him.  Muyumba is spun around and lands hard.  Yusef sees 🟨
Muyumba did well to stop the ball, but was ensuring he got the foul there.",224,,,,
7/26/2026 9:52:12,22,1st Half,turner puts the ball out of play - was under pressure,53,,,,
