Timestamp,Minute,Game Phase,Post,Post Size,Score,Notes,Highlight?,Status
8/1/2026 19:33:56,,Pre-Game,Atlanta vs Philadelphia,23,,"Commentators - Nate Bukaty - speaker 1, Devon Kerr - speaker 2",,
8/1/2026 19:40:41,,Start 1st Half,start,5,,,,
8/1/2026 19:40:59,0,1st Half,Picault kicks off,17,,,,
8/1/2026 19:41:12,1,1st Half,3 at the back for Atlanta,25,,,,
8/1/2026 19:42:03,1,1st Half,Philadelphia long throw into the box,36,,,,
8/1/2026 19:42:22,2,1st Half,"Picault defending outside the box, called for a foul.",53,,I didn't see a foul on replay,,
8/1/2026 19:43:43,3,1st Half,Philadelphia free kick - goes into the 6.  Damiani and Hoyos go into it together.  Hoyos puts it over,101,,,,
8/1/2026 19:45:21,5,1st Half,First few min  Philadelphia is passing better than Atlanta,58,,,,
8/1/2026 19:46:06,5,1st Half,this game has been played by the fullbacks.  neither team can make much happen in midfield or the front line.  A lot of long balls,130,,,,
8/1/2026 19:47:01,6,1st Half,"Wagner knocks over Edwards, then keeps running.  no call.  Wagner gets a cross in before Atlanta clears",103,,,,
8/1/2026 19:47:30,7,1st Half,Tata Martino gets a talking to from the Ref.  Then someone on the bench sees 🟨,79,,really early to have seen yellow,,
8/1/2026 19:48:42,8,1st Half,"Báez long ball to Picault, who one touches it to Almirón.  Atlanta cross the ball a couple of times.  It's eventually knocked out for a corner",142,,good passing sequence,,
8/1/2026 19:49:13,9,1st Half,Almirón corner.  Picault gets to it.  heades it out.,52,,"cautiously, things are trying to click",,
8/1/2026 19:50:04,9,1st Half,"Philadelphia down the left, Jacob is able to knock it.  It pinballs around.  Damiani knocks into Mihaj.  Atlanta player down, but back up soon.",143,,,,
8/1/2026 19:51:37,11,1st Half,Atlanta FB's struggling to deal with Philly's movement,54,,,,
8/1/2026 19:52:10,11,1st Half,Picault repeatedly coming deep to help on defense.,50,,,,
8/1/2026 19:52:35,12,1st Half,Vassilev knocks into Jacobs - maybe steps on his foot.  He's called for a foul.  Another no call where players disagree.  The Ref is letting things go.,151,,,,
8/1/2026 19:53:58,13,1st Half,"Mihaj with a bad clearance - ball goes high and backwards.  Philadelphia was able to get the ball, but Edwards rescues it and the ball goes out for a goalkick",158,,,,
8/1/2026 19:54:36,14,1st Half,Philadelphia are prioritizing the left side.,44,,,,
8/1/2026 19:55:19,15,1st Half,Muyumba to Miranchuk.  He hits the ball into a Philadelphia player.  Atlanta loses possession.,94,,,,
