Timestamp,Minute,Game Phase,Post,Post Size,Score,Notes,Highlight?,Status
8/18/2026 8:04:29,,Pre-Game,ATLUTD vs NYRB,14,,,,
8/18/2026 8:34:47,,Pre-Game,"Player - Injury/Suspension - Status
Mauricio Amaro - Visa Process - Out
Jay Fortune - Hamstring - Out
Enea Mihaj - 🟥 Card Suspension - Out
Will Reilly - Ankle - Questionable",174,,,,
8/18/2026 8:36:59,-8,Pre-Game,"Commentator:  Jess Charmin, Ian Joy",35,,,,
8/18/2026 8:37:40,,Pre-Game,Adrián Gill gets the start.  this is his debut,46,,,,
8/18/2026 8:38:43,-7,Pre-Game,"Starting XI:
GK: Hoyos
DF: Jacob ( left ), Edwards ( RB ), Alonso, Báez ( CB )
Mf: Gill, Muyumba
FW: Miranchuk, Sanchez, Almirón, Picault",137,,,,
8/18/2026 8:44:36,,Pre-Game,NYRB has been Atlanta's bogey team.  Have had a very difficult time beating them over the years.,96,,Atlanta has only beaten NY 3 times.,,
8/18/2026 8:45:14,,Start 1st Half,start,5,,,,
8/18/2026 8:45:19,0,1st Half,Atlanta kicks off,17,,,,
8/18/2026 8:46:46,2,1st Half,Almirón passes up to Báez on the left.,38,,,,
8/18/2026 8:47:20,2,1st Half,Gill with a bad giveaway.  NYRB pass over the top gets into the box.  Close call as it's called off.,100,,,,
8/18/2026 8:47:48,3,1st Half,Miranchuk nearly frees Almirón,30,,,,
8/18/2026 8:48:01,3,1st Half,Muyumba outside the box with a nice pass to Miggy,49,,,,
8/18/2026 8:48:55,4,1st Half,Báez passes straight to New York in a bad spot.  but Atlanta are able to clear,78,,,,
8/18/2026 8:49:45,5,1st Half,New York cross into the boxx.  Alonso is able to clear,54,,,,
8/18/2026 8:50:02,5,1st Half,New York is pressing hard.  again in the box,44,,,,
8/18/2026 8:51:01,6,1st Half,"New York through ball to the left corner.  ball into the box.  edwards is just able to clear.  but can't get it far.
New York passing around, passes through to Forsberg.  He shoots, and scores past hoyo's on the near post
Really nice passing by New York.  Jiménez direct pass to Forsberg, who spins around and shoots.  really nice shot.",336,NY 1-0,Atlanta have only kept 1 clean sheet this season,,
8/18/2026 8:52:09,7,1st Half,crowd is quieted,16,,,,
8/18/2026 8:52:58,8,1st Half,New York attack on their right.  broken up by Báez,50,,,,
8/18/2026 8:53:52,9,1st Half,"Alonso slow pass to Hoyos.  He takes a little too long, and New York is able to press and gets a touch in.  Hoyos has to scramble to then clear it.",147,,could have been 2 already,,
8/18/2026 8:54:16,9,1st Half,"Picault on the left, gets a cross along the 6",45,,,,
8/18/2026 8:54:30,9,1st Half,Sanchez takes a crack from long distance.  goes wide right,58,,,,
8/18/2026 8:54:52,10,1st Half,New York shot from outside the box.  Alonso deflects it out for a corner,72,,,,
8/18/2026 8:55:34,10,1st Half,"Right now, this game looks like it's going to get ugly",54,,,,
8/18/2026 8:56:07,11,1st Half,"corner - Bogacz and Hoyos go after it.  Voloder is eventually able to clear out for a throw in.
Atlanta is struggling to get the ball out of the box",148,,,,
8/18/2026 8:57:34,12,1st Half,"New York high ball into the box.  Was dangerous, but New York player slipped, allowing Atlanta to clear",103,,,,
8/18/2026 8:57:59,13,1st Half,Atlanta is pressed all the way into the 18.  All players defending,66,,,,
8/18/2026 8:58:23,13,1st Half,"Atlanta is able to break.  Picault runs up the left, gets to the 18 and is taken out cleanly.
He made a good run, but couldn't find a pass, and had 3 players marking him.",170,,,,
8/18/2026 8:59:52,15,1st Half,Sanchez makes a good pass to Almirón.,37,,,,
8/18/2026 9:01:04,16,1st Half,NYRB pulled the ball back to the gk.  Slowly passing around now,63,,,,
8/18/2026 9:01:31,16,1st Half,"Atlanta have been sitting back deep, inviting the pressure.  Showing signs they may be pressing forward now",107,,,,
8/18/2026 9:01:48,17,1st Half,"Edwards passes a long ball, trying to find Almirón.  Too far forward",68,,,,
8/18/2026 9:02:41,17,1st Half,"Sanchez runs forward, passes to Miranchuk on the left.  to Muyumba.   Sanchez to edwards, to Jacob.  
Atlanta getting good passes now",133,,,,
8/18/2026 9:03:01,18,1st Half,Miranchuk and Báez get into the box before New York is able to clear.  Lots of good team passing now by Atlanta,111,,,,
8/18/2026 9:03:46,19,1st Half,Miranchuk good long ball to Báez up the left.  to Muyumba.  He passes behind Miranchuk who was running in the box,113,,,,
8/18/2026 9:04:03,19,1st Half,"Gill slide tackle prevents a New York run, puts it out.",55,,,,
8/18/2026 9:04:38,19,1st Half,"good ball to Almirón, he passes left to Miranchuk.  New York break it up.  But Atlanta resume pressure.",103,,,,
8/18/2026 9:05:30,20,1st Half,"New York passes the ball into the box, finds Forsberg.  He's able to turn and shoot.  Hoyos with a strong dive and punch to make the save 🧤",140,,big save,,
8/18/2026 9:07:00,22,1st Half,"Atlanta runs up the right, Edwards tries a central pass, but it's behind Almirón",80,,,,
8/18/2026 9:07:21,22,1st Half,"Edwards tries a cross into the box.  low, and easy for New York to clear",72,,,,
8/18/2026 9:07:30,22,1st Half,Atlanta now pressing New York into the final 3rd,48,,,,
8/18/2026 9:08:02,23,1st Half,Báez with a beautiful central cross to Miranchuk.  one touch turn and shoot.  saved.  but looked good,101,,,,
8/18/2026 9:08:32,23,1st Half,Forsberg lovely through ball to Hall.  Cross to Jiménez in the box.  Diving header goes wide.,93,,NY having free reign to break through the backline and attack,,
8/18/2026 9:09:58,25,1st Half,Atlanta slow things down now,28,,,,
8/18/2026 9:11:11,26,1st Half,New York attack.  Miranchuk pulls him from behind to break it up.  no call.  ATLUTD break up the attack,103,,,,
8/18/2026 9:12:15,27,1st Half,"Atlanta breaks.  long ball from Sanchez finds Almirón on the left.  Under pressure, he's able to collect the ball and continue the run.  He doens't have a shot, passes central to Muyumba.  Should be a goal
Muyumba skies it.  This HAD to be on target",249,,,,
8/18/2026 9:13:19,28,1st Half,Atlanta is now controlling midfield.  Gill is looking really good in midfield,77,,,,
8/18/2026 9:13:48,29,1st Half,"Muyumba to Almirón, wide to Edwards.  one touch cross into the box.  Blocked.  Much better movement by Atlanta",110,,,,
8/18/2026 9:15:00,30,1st Half,"Sanchez long cross from the left into the box.  Picault tries a header, goes over.",82,,atlanta looking dangerous now.  needs the final touch,,
8/18/2026 9:15:24,30,1st Half,"New York now trying to slow things down, getting ready to strike",64,,,,
8/18/2026 9:15:39,30,1st Half,Báez down holding his head,26,,,,
8/18/2026 9:16:54,32,1st Half,"Báez high ball up to Picault.  In good area.  New York break it up.  but not long.  Sanchez gets the ball into the box to Muyumba, then to Miranchuk at about 10 yards.  He tries a turn and shot but it goes out.",210,,,,
8/18/2026 9:18:34,33,1st Half,Gill breaks up another play. he's reading passes very well,58,,,,
8/18/2026 9:19:23,34,1st Half,New York nice through ball again finds Forsberg in the box.  Atlanta clears.  But have to play perfect now.  Forsberg is looking really good.  hard to mark,155,,,,
8/18/2026 9:20:15,35,1st Half,Gill hospital pass to Muyumba.  taken down by New York.  but Atlanta is able to recover and get the ball forward.,113,,,,
8/18/2026 9:21:08,36,1st Half,New York attack down the left.  Edwards breaks it up and passes long looking for Almirón.  offsides,99,,,,
8/18/2026 9:22:08,37,1st Half,Jiménez into the box.  Jacob breaks it up for a corner,54,,,,
8/18/2026 9:24:11,39,1st Half,Gill does well to break up an attack along the right,52,,,,
8/18/2026 9:25:02,40,1st Half,"Báez down on the right.  has stayed down while the play goes on.  Ref did stop play, not sure why.  didn't look bad.",116,,,,
8/18/2026 9:26:48,42,1st Half,"Picault working hard, with a run on the left.  has 3 on him direclty, 2 more nearby.  he is taken out before he could find a pass",129,,,,
8/18/2026 9:27:46,43,1st Half,"New York ball over the top looking for Donkor.  good run, but just misses him.  He was free and clear behind Alonso's back line",127,,,,
8/18/2026 9:28:33,43,1st Half,Alonso breaks up a play he had no business breaking up.,55,,,,
8/18/2026 9:28:42,43,1st Half,Atlanta still trying long balls to the front line.  Tend to be over-hit,71,,,,
8/18/2026 9:29:54,45,1st Half,"Almirón run on the left, beautiful long curling ball finds Picault in the center.  offsides when he shouldn't have been.  really good ball from Almirón",151,,,,
8/18/2026 9:30:19,45,1st Half,1' stoppage,11,,,,
8/18/2026 9:30:36,45,1st Half,crunching knockdown in the center of the pitch.  Gill was knocked hard to the ground by Donkor.,95,,Gill will do better when he puts on some muscle,,
8/18/2026 9:32:31,47,1st Half,Atlanta free kick - goes across pitch to Jacob.  one touch over the top into the box.  New York is able to clear,112,,,,
8/18/2026 9:32:35,,Halftime,stop,4,,,,
8/18/2026 9:33:59,,Halftime,"Player Impressions:
Hoyos - one really good save 🧤, and again holding too long on the ball.  nearly gave up a goal
Edwards - a little shaky defensively.  Good for his age.  Having trouble with his passes offensively
Jacob - not much impact on the game centrally
Alonso - too slow now at his age.  Getting beaten by New York.  But reads the game well
Báez - putting himself in good positions on the left.  doing ok, needs better passes
Gill - looking really good for his debut.  reading passes well, breaking things up
Muyumba - should have had a goal, or at the very least on target.  trying long passes
Sanchez - doing well in midfield.  difficult at the beginning, but working hard now.  
Miranchuk - hard to pinpoint where he is at any given point.  Comes back deep to break up plays.  can't get the final pass right
Almirón - the team's tallisman.  Running all over.  making good passes.  
Picault - making long runs.  working hard.  generally getting in good spots.  I expect him to tire and be one of the first subs",1022,,,,
8/18/2026 11:46:52,,Halftime,no changes at the half,22,,,,
8/18/2026 11:47:29,,Start 2nd Half,start,5,,,,
8/18/2026 11:48:19,46,2nd Half,"first min, Atlanta playing keep away with the ball.  have also put it out twice",79,,,,
8/18/2026 11:48:47,46,2nd Half,"New York attack down the left.  Sanchez tries a stop and is bounced off.  New York keep the ball and rotate the to the right, then again the left.  Recycle back.  trying the right.
Atlanta struggle to clear.New York continue to move the ball freely",248,,,,
8/18/2026 11:50:07,48,2nd Half,"Jacob is the first to actually stop New York here.  He is shown 🟨.  
Dos Santos gets the ball on the left.  Jacob slides in hard.  This looks rough as Jacob slides into the player on his standing leg.  For me, this was a definite 🟨, wasn't enough to overturn to a 🟥.  But I wouldn't have been able to argue if it was an immediate 🟥.",336,,,,
8/18/2026 11:51:42,49,2nd Half,New York's free kick came into the box and went just over.,58,,,,
8/18/2026 11:52:13,50,2nd Half,New York again in the box.  Atlanta players swwarm the ball.  Looked like Jacob is who is able to finally stop the movement,123,,,,
8/18/2026 11:53:20,51,2nd Half,"first 5 min have been all New York.  Atlanta cannot get a sniff of the ball, let alone push into New York's half.",113,,,,
