Timestamp,Minute,Game Phase,Post,Post Size,Score,Notes,Highlight?,Status
8/23/2026 18:55:58,,Pre-Game,ATLUTD vs Sporting KC,21,,,,
8/23/2026 18:59:04,,Pre-Game,Gill gets his 3rd start in as many games,40,,,,
8/23/2026 18:59:15,,Pre-Game,This is the first pairing of Alonso and Díaz,44,,,,
8/23/2026 19:00:31,,Pre-Game,very light crowd.  bad traffic on 85S.  Took. me 2 hours to get here,68,,,,
8/23/2026 19:01:57,,Pre-Game,Sporting just sold their striker.  They just signed Andre Luiz.,63,,,,
8/23/2026 19:10:14,,Pre-Game,"line-up announcemnt.  good cheer for Hoyos
big cheer for Muyumba
bigger for Gill
biggest for Almirón",100,,,,
8/23/2026 19:10:24,,Pre-Game,"ATLUTD in red-and-black
Sporting in light blue",46,,,,
8/23/2026 19:10:55,,Pre-Game,Tori Penso is the Ref.,22,,,,
8/23/2026 19:10:58,,Pre-Game,Atlanta kicking off,19,,,,
8/23/2026 19:12:06,,Start 1st Half,start,5,,,,
8/23/2026 19:13:27,1,1st Half,"Alonso chests it to Gill, chests down and tries a back pass.  Not a good one.  KC attack.  It's too far and Hoyos is able to collect",132,,,,
8/23/2026 19:13:47,2,1st Half,Mosquera knocks down Picault from behind,40,,,,
8/23/2026 19:14:17,2,1st Half,Alonso long ball to Miggy on the left.  He over hits the ball.  Nearly out on the right.,88,,,,
8/23/2026 19:15:08,3,1st Half,Edwards and Gill taking turns playing deep / moving up,54,,,,
8/23/2026 19:16:23,4,1st Half,Gill with another bad giveaway in a bad spot.  KC attack and get the ball to the 6.  Díaz heads it away and KC cannot capitalize,128,,,,
8/23/2026 19:16:45,5,1st Half,Alonso doing a lot more work dictating player movements,55,,,,
8/23/2026 19:17:03,5,1st Half,"Picault long ball down the right.  finds Jacob.  Ball crossed then shotk, blocked",81,,,,
8/23/2026 19:17:47,6,1st Half,Gill is frequently moving to either side's sideline.  Looking to distribute the ball higher.,92,,,,
8/23/2026 19:18:20,6,1st Half,Picault is playing as the left wing again.  Miranchuk and Almirón are switching to play as the 10,97,,,,
8/23/2026 19:19:28,7,1st Half,Báez overlaps Almirón.  Miggy can't get the ball to him and KC breaks.  But the final cross isn't good.  Atlanta with the luck right now,136,,,,
8/23/2026 19:19:58,8,1st Half,"Sanchez given all kinds of room in the center of the pitch, able to move the ball from the 18 to the center circle without pressure.",132,,,,
8/23/2026 19:20:38,9,1st Half,Capemba takes the ball into the corner.  Báez is judged to have fouled him.  Free kick from near the ccorner spot,113,,,,
8/23/2026 19:21:38,10,1st Half,"Picault and Muyumba combine to strip the ball from KC in a bad spot.  ATLUTD is able to get the ball back, slow things down to reset.",133,,,,
8/23/2026 19:22:07,10,1st Half,Mosquera knocks Picault down from behind in the center circle. KC appear to be targeting him.  Penso is now talking to the captain.,131,,,,
8/23/2026 19:23:27,11,1st Half,ATLUTD playing rondows now.  4 players passing in a cirlce keepaway from KC.  They look to be having fun out there,114,,,,
8/23/2026 19:24:42,13,1st Half,"KC are trying to get the ball down the left.  Báez, Picault, Alonso, Gill all swarm to shut things down",103,,,,
8/23/2026 19:25:12,13,1st Half,"Edwards gest ths ball up to Miggy.  He takes it up the left, sends the ball to an open Jacob.  One touch into an open net, Goal.
Ball was bouncing up to Jacob's knee hight.  He has to raise his leg to get the boot on it.  He taps it in.  
Miggy did a nifty fake which put Mosquera on the ground.  THis opened up Miggy for the shot.",331,Atlanta 1-0,,,
8/23/2026 19:27:56,16,1st Half,That was Jacob's 3rd goal of the season.  Miggy's 6th assist.  Sanchez gets the 2nd assist,90,,,,
