Timestamp,Minute,Game Phase,Post,Post Size,Score,Notes,Highlight?,Status
8/28/2026 15:45:41,,Pre-Game,ATLUTD vs Charlotte,19,,,,
8/28/2026 15:46:02,,Pre-Game,"The following players are one caution away from suspension/fine:
Lucas Hoyos, ATL
David Schnegg, CLT
Ashley Westwood, CLT",123,,,,
8/28/2026 15:47:17,,Pre-Game,"Player Availability Report:
Atlanta:
OUT: Mauricio Amaro (VISA Process)
OUT: Jay Fortune (hamstring)
OUT: Embolo (VISA Process)

Charlottle:
OUT: Nimfasha Berchimas (lower body)
OUT: Aron John (upper body)
OUT: Harry Toffolo (lower body)",237,,"Skate Noftsinger is no longer with ATLUTD.
Could be the first move from Culebro.

Organizational change is underfoot.  little over 5 months since Culebro was hired and ~2 months after he formally took over.

Her bio was updated to reflect reporting to Culebro.
She was helping to run ATLUTD in Garth's absense.  

Michael Ridley was named VP of hte team's marketing and fan engagement in Jan 2025",,
8/29/2026 18:55:10,,Pre-Game,Charlotte has come out for warmups,34,,,,
8/29/2026 18:58:57,,Pre-Game,Atlanta has come out for warm-ups.  21 min remaining,52,,,,
8/29/2026 19:02:21,,Pre-Game,Atlanta taking a fairly relaxed approach to warmups.  Just now getting together for rondos,90,,,,
8/29/2026 19:18:40,,Pre-Game,"The traveling Charlotte supporters let out a large cheer for their team, who applauded them back.  
In turn, it's a very light ATLUTD crowd",139,,,,
8/29/2026 19:38:46,-2,Pre-Game,Charlotte in their dark kit.  Atlanta in the olympic kit,56,,,,
8/29/2026 19:40:39,,Start 1st Half,start,5,,,,
8/29/2026 19:40:44,0,1st Half,Charlotte kick off,18,,,,
8/29/2026 19:41:23,1,1st Half,Edwards taking. over Báez's spot on the left,44,,,,
8/29/2026 19:42:57,2,1st Half,Charlotte working the sides,27,,,,
8/29/2026 19:43:06,2,1st Half,Atlanta are playing compact.,28,,,,
8/29/2026 19:44:08,3,1st Half,Atlanta playing dangerously just inside the box.  tricks and short passes.  Jacob is able to blast the ball to the far side to clear.  Picault was nearly stripped of the ball.,175,,,,
8/29/2026 19:44:46,4,1st Half,"Charlotte cross into the box.  they just miss, are unable to connect for a shot.  the Charlotte crowd comes alive.",114,,"dangerous ball.  They had the opportunity.  They have so far had all possession, field position.  Cannot get a shot off.  But it won't be long.",,
8/29/2026 19:47:58,7,1st Half,"Miranchuk got the ball at the arc, turns and sends wide to Jacob.  He had a one-touch cross which sailed across the pitch and out.",130,,,,
8/29/2026 19:49:32,9,1st Half,Saint-Maximin is able to dribble through 4 people in the Atlanta box.  He's eventaully stripped of the ball and goes down.  Atlanta clears.,139,,,,
8/29/2026 19:50:37,10,1st Half,Charlotte are trying to press Atlanta into making a mistake,59,,,,
8/29/2026 19:51:53,11,1st Half,Saint-Maximin out wide gets a cross into the box.  It really feels like a Charlotte goal is coming.,99,,,,
8/29/2026 19:53:24,13,1st Half,Reilly is called for a foul - high boot.  the Charlotte defender dove forward heading the ball.  Started from behind Sanchez.  He had no idea.,142,,,,
8/29/2026 19:54:49,14,1st Half,Atlanta backline is very organized.  Much better than earlier in the season.  Alonso is quick to tell the players to get lined up,129,,The crowd has been booing Tim Ream.  Really not sure why.,,
8/29/2026 19:57:48,17,1st Half,Charlotte break into the box.  Toklomati is about to shoot.  Hoyos is just barely able to get there in time.  The ball pops out.  Saint-Maximin tries to get it.  Atlanta clear.  Charlotte should have scored there,212,,,,
8/29/2026 19:58:18,18,1st Half,"Charlotte high cross in the box.  Toklomati header, head to head with Díaz who goes down.",89,,,,
8/29/2026 19:59:57,19,1st Half,"altanta having a lot of difficulty.  are occasionally able to to get the ball in the final third, but cannot get a shot off.",124,,,,
8/29/2026 20:01:00,20,1st Half,"Almirón sends a high ball into the box from the right.  Picault leaping, but Kahlina collects before a flying Picault.",118,,,,
8/29/2026 20:01:37,21,1st Half,Reilly moving the ball easier now.  moving from left to right.  has more space.,79,,,,
8/29/2026 20:01:57,21,1st Half,"Alonso on the ball, stands still for about 5 seconds.  Charlotte didn't press at all.",85,,,,
8/29/2026 20:02:07,21,1st Half,Charlotte goal.  Saint-Maximin running down the left sends a cross in.  it goes to Abada on the right who taps it back into the middle.  Toklomati with an easy tap-in.,167,CLT 1-0,,,
8/29/2026 20:03:59,23,1st Half,Díaz tends to pass well in front of his target.  He clearly wants his teammates to run forward onto the ball,108,,,,
8/29/2026 20:05:09,25,1st Half,"Edwards very active on the left side. working hard to defend, then moves the ball forward to tries to cross the ball.",117,,,,
8/29/2026 20:05:23,25,1st Half,"Miranchuk collects in the middle, out side to Edwards.  The cross goes far.  Charlotte puts it out for a corner",111,,,,
8/29/2026 20:06:34,26,1st Half,Atlanta are losing their shape now.  Tata is urging the team to move forward.,77,,,,
8/29/2026 20:08:01,27,1st Half,"Charlotte take a fast freekick over the top.  Abada rushes down the right.  Berchimas duel, who is able to finally strip the ball and send to Hoyos.  He passes to his only target - Jacob on the right.  Atlanta out of danger",223,,,,
8/29/2026 20:08:38,28,1st Half,"Miggy at the arc gets a ball.  He tries to shoot, 2 Charlotte players pounce and block.",87,,,,
8/29/2026 20:09:00,28,1st Half,Atlanta now with a 2-man backline - Muyumba and Reilly,54,,,,
8/29/2026 20:10:58,30,1st Half,"Atlanta in a back 3.  Alonso, Picault, Díaz.  Picault on the left.  Atlanta may be trying to disrupt Charlotte.",111,,,,
8/29/2026 20:12:04,31,1st Half,"Reilly, Sanchez getting room in the center.  able to pass freely.  But still having trouble getting the ball up the pitch",121,,,,
8/29/2026 20:12:48,32,1st Half,"Picault standing on the ball at the 11.  He tries to decide what to do, ends up passing it direclty to the Charlotte player in from of him.",139,,,,
8/29/2026 20:13:29,33,1st Half,"Charlotte break off that bad play.  Toklomati on a break getts past Díaz.  he tries to twist and turn around Hoyos. it looks like a certain goal.  Hoyos dives to this right, gets the ball and takes down Toklomati.  Ball dribbles clera.  Atlanta blasts it forward.  Charlotte crowd are clammoring for a penalty shot.  From here, it looked like they could have a case.  But Hoyos is able to cleanly pull the ball off of Toklomati's boots.  Perfect play.",451,,top save.  should have been a goal,,
8/29/2026 20:16:13,36,1st Half,Ball into the center to Muyumba.  he tries turning with it and loses the ball.  Charlotte are able to break off another Muyumba misplay,135,,,,
