Timestamp,Minute,Game Phase,Post,Post Size,Score,Notes,Highlight?,Status
9/12/2026 19:18:38,,Pre-Game,ATLUTD vs D.C. at Audi Field,28,,,,
9/12/2026 19:17:40,,Pre-Game,"The following players are one caution away from suspension/fine:
Tomás Jacob, ATL
Cooper Sanchez, ATL",101,,,,
9/12/2026 19:16:48,,Pre-Game,"Player Availability Report:
Atlanta:
OUT: Steve Alzate (illness)
QUESTIONABLE: Giuliano Galoppo (VISA)

DC:
OUT: Gabe Segal (lower leg)
OUT: Joao Peglow( suspended)",164,,,,
9/12/2026 19:23:50,,Pre-Game,"Two changes from the last game.
Cooper Sanches back in the starting 11.  He has cleared concussion protocol.
Tristin Muyumba on the bench.
Jay Fortune  starts again.  Will Reilly on the bench.
Enea Mihaj starts in place of Paulo Díaz",233,,,,
9/12/2026 19:25:39,,Pre-Game,"D.C. are in 11th with 28 points
Atlanta are in 14th, with 22",60,,,,
9/12/2026 19:31:39,,Pre-Game,"Commentators:  Jess Charmin, Ian Joy",36,,,,
9/12/2026 19:31:42,,Pre-Game,"Ref: Malik Badawi
AR: Justin Howard
AR: Kevin Klinger
4th: Lorenzo Hernández
VAR: Jaclyn Metz
VAR AR: Ian McKay",111,,,,
9/12/2026 19:56:13,,Start 1st Half,start,5,,,,
9/12/2026 19:56:20,0,1st Half,D.C. kickoff,12,,,,
9/12/2026 19:57:11,1,1st Half,parts of the pitch look to be soaked with water,47,,,,
9/12/2026 19:57:28,1,1st Half,two 37 yr old goal keepers up against each other,48,,,,
9/12/2026 19:58:21,2,1st Half,"D.C. passing out wide right,  Miggy reads the pass and breaks it up.  He has a nice spin move to keep control and pass.",119,,,,
9/12/2026 19:58:32,2,1st Half,Báez tries crossing the ball to the left.  Sends it out.,56,,,,
9/12/2026 19:59:40,3,1st Half,embolo dropping very deep to try and break up a D.C. ball,57,,,,
9/12/2026 20:00:19,4,1st Half,Atlanta putting double players on Báez's side.  Double teaming Kurokawa,71,,,,
9/12/2026 20:01:22,5,1st Half,"Kurokawa has a long throw in him.
He through it, it reaches the 6.  It is headed to the back post.  Baribo jumps and tries tapping the ball in one-touch.  Just wide",164,,,,
9/12/2026 20:02:07,6,1st Half,D.C. pressing hard.  force an Atlanta giveaway,46,,,,
