Timestamp,Minute,Game Phase,Post,Post Size,Team,Players,Weight,Status,Notes
3/14/2026 15:28:29,-10332,Pre-Game,ATLUTD vs DC,12,,,,,
3/21/2026 15:40:52,-239,Pre-Game,"Availability Report:
ATLUTD:
Wiley (Hamstring)
Santons (ill)
Berrocall (Hamstring) - Questionable

DC United:
Herrera (Lower Leg)
Karamoko (ill)
Munteanu (Lower Leg)
Segal (Lower Leg)",183,,,,,
3/21/2026 15:45:37,-235,Pre-Game,ATLUTD have not kept a clean sheet in 10 games,46,,,,,
3/21/2026 15:46:49,-233,Pre-Game,"Ref:  Jair Marrufo
AR1: Corey Rockwell
AR2: Oscar Mitchell-Carvalho
4th: Brad Jensen
VAR: Kevin Terry Jr
AVAR: Tom Supple",121,,,,,
3/21/2026 15:49:27,-231,Pre-Game,A win will move ATLUTD above DC,31,,,,,
3/21/2026 15:49:57,-230,Pre-Game,DC have not won consecutive regular season matches since October 2024,69,,,,,
3/21/2026 15:50:28,-230,Pre-Game,Tai Baribo scored in 3 of his first four matches for DC,55,,,,,
3/21/2026 17:55:54,-104,Pre-Game,Grass is holding up well.  It's been in place a few weeks.  There are a few spots where it is worn out.,103,,,,,
3/21/2026 18:02:45,-97,Pre-Game,"For hte player walkout, Players have on on:  a green tshirt with either white shorts/pants that have a green stripe down the sides.  Some are wearing a white sweatshirt with a green stripe down the back.",203,,,,,
3/21/2026 18:56:37,-44,Pre-Game,"Starting 11:
GK:  Hoyos
D: Báez, Mihaj, Gregersen, Tomás
M: Muyumba, Sanchez, Galarza
W: Miranchuk, Almirón
F: Latte Lath",121,,,,,
3/21/2026 18:58:01,-42,Pre-Game,"Subs for Atlanta:
Hibbert, Hernández, Amador, Edwards, Alzate, Picault, Togashi, Brennan, Saba",94,,,,,
3/21/2026 18:58:31,-42,Pre-Game,Stian and Miranchuk will start their 50th match for ATLUTD,58,,,,,
3/21/2026 18:59:02,-41,Pre-Game,Debut of the Spirt of '96 Kit,29,,,,,
3/21/2026 18:59:57,-40,Pre-Game,"Last match, Stian tied fhe club's record of 17 clearances.  Parkhurst did this in 2018",86,,,,,
3/21/2026 19:07:23,-33,Pre-Game,ATLUTD staff working with Hoyos on his jumping and stretching.,62,,,,,
3/21/2026 19:38:04,-2,Pre-Game,ATLUTD players look to be in a serious mood today.,50,,,,,
3/21/2026 19:40:10,0,Pre-Game,ATLUTD kits looking fabulous from a distance.,45,,,,,
3/21/2026 19:40:12,0,Start 1st Half,ball is rolling,15,,,,,
3/21/2026 19:40:32,0,1st Half,ATLUTD looking to start off going wide.,39,,,,,
3/21/2026 19:41:28,1,1st Half,"Like in the warmups, ATLUTD looking to form tight passing triangles.",68,,,,,
3/21/2026 19:42:15,2,1st Half,"Miranchuk on the left wing, Miggy on the right.",47,,,,,
3/21/2026 19:42:24,2,1st Half,FB's are trying to push up.,27,,,,,
3/21/2026 19:42:52,3,1st Half,DC holding a high line,22,,,,,
3/21/2026 19:43:48,4,1st Half,"DC is a tight, compact unit.  ATLUTD having a difficult time getting through",76,,,,,
3/21/2026 19:45:09,5,1st Half,ATLUTD take the shortest corner I've ever seen.  All of 3'.  It didn't pay off.,79,,,,,
