Timestamp,Minute,Game Phase,Post,Post Size,Team,Players,Weight,Status,Notes
4/4/2026 7:36:55,-724,Pre-Game,ATLTUD vs Columbus Crew,23,,,,,
4/4/2026 7:37:38,-723,Pre-Game,"Officiating crew
Referee: Lorenzo Hernández
Assistants: Eric Weisbrod, Nick Balcer
Fourth official: Elijio Arreguin
VAR: Jorge Gonzalez
AVAR: Jeff Muschik
",161,,,,,
4/4/2026 7:37:44,-723,Pre-Game,"Series
Columbus leads 10-6-2
Atlanta United has scored 27 goals; Columbus has scored 34",89,,,,,
4/4/2026 7:42:34,-718,Pre-Game,"MLS Availability Report:
ATLUTD:  
Matias Galarza - Not Due to Injury ( Out ) - getting his Visa
Sergio Santos - Calf ( Questionable )",134,,,,,
4/4/2026 7:43:12,-717,Pre-Game,"MLS Availability Report:
Crew: 
Mohamed Farsi - Hernia ( Out )
Yevhen Cheberko - Thigh ( Questionable )",103,,,,,
4/4/2026 18:45:27,-55,Pre-Game,"Starting Lineup - Crew
gk: Schulte
d: Amundsen , Zawadzki , Camacho , Moreira 
m: Arfsten , Chambost , Gomes , Herrera
f: Rossi , Abou Ali",138,,,,,
4/4/2026 18:45:48,-55,Pre-Game,"Starting lineup - ATLUTD
gk: Hoyos
d: Tomás , Gregersen , Mihaj , Báez
m: Muyumba , Reilly , Alzate
f: Almirón , Latte Lath , Miranchuk",135,,,,,
4/4/2026 19:03:57,-37,Pre-Game,The Crew have been concentrating on tight passing drills in warmup.  ATLUTD are more expanded.  Neither team is practicing shooting.,132,,,,,
4/4/2026 19:06:17,-34,Pre-Game,Warmup - The Crew are taking a relaxed approach than Atlanta.  ,63,,,,,
4/4/2026 19:08:28,-32,Pre-Game,Looks to me like Tata is focusing the team on passing accuracy.,63,,,,,
4/4/2026 19:09:27,-31,Pre-Game,The Crew have switched ot rondos.  They look more comfortable in playing keepaway.,82,,,,,
4/4/2026 19:16:50,-24,Pre-Game,The Crew are practicing aiming for the corner of the net.,57,,,,,
4/4/2026 19:38:27,-2,Pre-Game,The electic guitarist who played at the USMNT vs Belgium game again played the national anthem,94,,,,,
4/4/2026 19:40:32,0,Start 1st Half,Ball is rolling,15,,,,,
4/4/2026 19:40:46,0,1st Half,Crew kickoff,12,,,,,
4/4/2026 19:42:19,2,1st Half,The Crew are indeed set to play keepaway.  They are daring Atlanta to challenge them for the ball.,98,,,,,
4/4/2026 19:45:06,5,1st Half,Atlanta are going to have to challenge for the ball in order to get it.  Columbus is otherwise not interested.,110,,,,,
4/4/2026 19:45:15,5,1st Half,The ball has yet to see the Crew's half.,40,,,,,
4/4/2026 19:47:14,7,1st Half,"ELL goes high for the ball, and lands hard.",43,,,,,
4/4/2026 19:47:29,7,1st Half,"Stian passes out of bounds, missing Jacobs.",43,,,,,
4/4/2026 19:47:49,7,1st Half,Reilly tries to cross.  It went between Stian and Jacobs.  ,57,,,,,
4/4/2026 19:47:59,7,1st Half,ATLUTD cannot get the ball forward into the Crew's half.,56,,,,,
4/4/2026 19:49:46,9,1st Half,"Crew shot, goes high.  The Crew are the more aggressive team, dribbling between Atlanta lines.",94,,,,,
4/4/2026 19:50:01,9,1st Half,ATLUTD backline having difficulty completing passes.,52,,,,,
4/4/2026 19:50:30,10,1st Half,"Jacob to Miranchuk wide.  centers it, and the Crew break it up.",63,,,,,
4/4/2026 19:50:42,10,1st Half,Stian gets an elbow to the face.  No foul.,42,,,,,
4/4/2026 19:51:21,11,1st Half,Atlanta have gotten the ball into the Crew's half but are not able to make anything from it.,92,,,,,
4/4/2026 19:53:00,12,1st Half,Crew with a high cross into the box.  Hoyos collects.,53,,,,,
4/4/2026 19:53:56,13,1st Half,Hoyos and Stian are so far the players with the most passes.  To each other.,76,,,,,
4/4/2026 19:54:13,14,1st Half,Long ball into the box nearly find Báez .  Goes out for a corner.,65,,,,,
4/4/2026 19:55:10,15,1st Half,The corner goes back to Reilly and Tristen.  Atlanta can't get a shot off.,74,,,,,
4/4/2026 19:55:52,15,1st Half,"Reilly tries to dribble forward, fouls Crew player.",51,,,,,
4/4/2026 19:56:06,16,1st Half,Crew are trying to reset back to keep away.,43,,,,,
4/4/2026 19:56:55,16,1st Half,Crew shot goes wide.  They are trying to hit the corners.,57,,,,,
