Timestamp,Minute,Game Phase,Post,Post Size,Team,Players,Weight,Status,Notes
4/4/2026 7:36:55,-10861,Pre-Game,ATLTUD vs Columbus Crew,23,,,,,
4/4/2026 7:37:38,-10860,Pre-Game,"Officiating crew
Drew Fischer (referee), Ryan Graves (assistant), Gerard-Kader Lebuis (assistant), Matthew Thompson (fourth), Danielle Chesky (VAR), Mike Kampmeinert (AVAR)
",172,,,,,
4/11/2026 8:20:23,-737,Pre-Game,"through Matchday 6. From that file, Atlanta looks like a team that still has the ball but is not turning it into enough end product. They have 54.6% possession, 3,317 total passes, and an 86% pass completion rate, but only 6 goals, 19 shots on target, and 7.76 xG through six matches. That is the profile of a side moving the ball without generating enough clean finish volume. Chicago, by contrast, has 8 goals, 26 shots on target, 11.68 xG, and only 5 goals conceded with 3 clean sheets. Chicago’s passing volume is lower than Atlanta’s, but the defensive record is clearly better and the attack has produced more danger so far.",630,,,,,
4/11/2026 8:20:39,-737,Pre-Game,"Atlanta has had more of the ball this season, but Chicago has been the more efficient side at both ends. Atlanta’s attack has underperformed its xG, while Chicago has paired a sturdier defensive record with better shot production.",230,,,,,
4/11/2026 8:23:27,-734,Pre-Game,"Atlanta are a possession team that moves the ball well, creates chances, but:
- doesn’t finish efficiently
- gives up too much defensively

~51% possession
High passing volume, strong completion (~85%+)
10.85 xG, but negative efficiency (-1.85) → underperforming finishing
15 goals conceded in 6 matches → defensive problem
Only 1 clean sheet
32 shots on target → they are generating looks

Ball-dominant, circulation-heavy, but inefficient
Build through short + medium passes (high volume + high completion)
Will have spells of control
Finishing is unreliable
Defense is leaking goals

What it looks like on the field:
- Long stretches of possession without killing the game
- Opponents staying alive → and then punishing them",727,,,,,
4/11/2026 8:25:46,-732,Pre-Game,"Chicago Fire profile
8 goals on 68 shots → moderate output but not elite
2262 completed passes vs Atlanta’s similar volume
Shot distribution: 48 inside the box → they get into dangerous areas
Only 3 assists → attack is more direct / individual finish-driven
Fewer defensive redflags

Chicago are more
- direct
- box-oriented
-less reliant on buildup
-more efficient where shots come from

What it looks like:
- Let Atlanta have the ball
- Stay compact
- Attack when openings appear",481,,,,,
4/11/2026 8:30:31,-727,Pre-Game,"Atlanta United are averaging more possession and passes, but have conceded 15 goals in 6 matches. Control hasn’t translated to control of games.",144,,,,,
4/11/2026 8:30:51,-727,Pre-Game,"Chicago don’t need the ball. Nearly 70 shots this season, with the majority coming inside the box.",98,,,,,
4/11/2026 8:31:43,-726,Pre-Game,"Atlanta: control, volume, inefficiency, defensive issues
Chicago: selective, direct, more efficient profile",107,,,,,
4/11/2026 20:32:15,-6,Pre-Game,"Starting Lineup ATLUTD
gk: Hoyos 
d: Báez , Mihaj , Gregersen , Tomás
m: Galarza , Muyumba , Sanchez
f: Almirón , Latte Lath , Saba",131,,,,,
