Timestamp,Minute,Game Phase,Post,Post Size,Team,Notes,Highlight?,Status,Notes
4/22/2026 15:30:48,,Pre-Game,ATLUTD vs New England,21,,,,,
4/22/2026 15:32:12,,Pre-Game,"If Atlanta cannot play through the middle early, their attacks will shift wide by necessity rather than design",110,,,,,
4/22/2026 15:37:54,,Pre-Game,"If Atlanta consistently runs in behind, Farrell and the line have to defend deeper, which disconnects Carles Gill from transition moments. If they don’t, New England can hold a higher line and compress the match.",212,,this worked,,,
4/22/2026 15:35:08,,Pre-Game,"Availability Report
ATLUTD - Almirón - (knee), Alzate - (Adductor), Sanstos (Calf), Jacob (lower leg) Questionable
New England - Campana ( lower body ), Polster (lower body), Ceballos (Lower body ) Questionable, Yueill (lower body) Questionable",244,,,,,
4/22/2026 15:38:04,,Pre-Game,Everything attacking for New England runs through Carles Gill.,62,,,,,
4/22/2026 15:39:12,,Pre-Game,"New England’s fullbacks, including Will Sands, will try to delay rather than tackle.
If they succeed in slowing the first action, Atlanta’s width becomes circulation rather than penetration.",190,,,,,
4/22/2026 19:31:46,,Pre-Game,"Very lightly attended for this midweek game.  The current smallest non-COVID era crowd for a league match was 34,130 this year against Columbus.",144,,,yes,,
4/22/2026 19:53:56,,Pre-Game,"Not much crowd cheering during player announcements, apart from Saba.",69,,the crowd cheered loudly for Saba and Alexey,yes,,
4/22/2026 19:55:25,,Pre-Game,"For those that have wanted to see Alexey start up top - you should have been at the Benz.
This was different from the opening game of preseason though - where he and Almirón shared the position.",194,,,,,
4/22/2026 19:55:52,0,Start 1st Half,ball is rolling,15,,,,,
4/22/2026 19:56:56,1,1st Half,Amador overlapping Picault on the left wing.  Chance goes begging.,66,,,,,
4/22/2026 19:57:33,2,1st Half,Alexey is already putting in more effort than Latte Lath up top.,64,,,yes,,
4/22/2026 19:58:11,2,1st Half,"Sanchez miss pass, but comes back to put on pressure.",53,,,,,
4/22/2026 19:59:01,3,1st Half,I haven't seen the ball in the air quite so much for such a sustained amount of time.,85,,,,,
4/22/2026 19:59:32,4,1st Half,Edwards and Saba are trying to keep the right side wide.,56,,,,,
4/22/2026 20:00:45,5,1st Half,"Amador puts a cross into the box.  Reilly is rushing, but it goes wide.  It may have woken up the light crowd.",110,,,yes,,
4/22/2026 20:01:34,6,1st Half,"Another Amador cross, goes all the way to Edwards.",50,,,,,
4/22/2026 20:01:59,6,1st Half,Reilly chip finds Galarza.  ATLUTD are pushing for an early goal.,65,,,yes,,
4/22/2026 20:02:14,6,1st Half,Picault sends a header in the center towards Saba.,50,,,yes,,
4/22/2026 20:02:57,7,1st Half,New England up against heavy pressure.,38,,,,,
4/22/2026 20:03:24,8,1st Half,The game has been entirely in NE's half.,40,,,yes,,
4/22/2026 20:04:24,9,1st Half,"Picault with a lot of off the ball movement, troubling the defenders.",69,,he did this all game,yes,,
4/22/2026 20:05:38,10,1st Half,ATLUTD has looked very organized so far.,40,,,yes,,
4/22/2026 20:06:18,10,1st Half,Picault sends a ball in for Cooper at the 6.  He's covered.  But there's already a steady partnership between them.,115,,,yes,,
4/22/2026 20:07:27,12,1st Half,"Off a corner, Mihaj was knocked down.  Throughout the next play, he was complaining to Tata that there was no call.",115,,I noticed several times today when he was complaining,,,
4/22/2026 20:08:44,13,1st Half,"In defensive actions, even in NE's half, Atlanta is condensing the pitch.  Giving The The Revs little room to pass.",115,,,yes,,
4/22/2026 20:09:53,14,1st Half,"First New England shot of the night.  From outside the 18, goes wide.  It'll keep Atlanta honest.",97,,,yes,,
4/22/2026 20:11:09,15,1st Half,Saba and Edwards are working well as a pair on the right.,57,,,yes,,
4/22/2026 20:12:06,16,1st Half,New England get their first real attack deep in Atlanta's half.  Edwards keeps it from development further.,106,,,,,
4/22/2026 20:12:40,17,1st Half,Alexey has been pressing every ball.,36,,,yes,,
4/22/2026 20:13:46,18,1st Half,"New England get a ball near the 18, 4 ATLUTD players swwarm towards him.",72,,,,,
4/22/2026 20:14:05,18,1st Half,"Out of nothing, New England shot from the top of the box.  Top right corner.  Goal, 1-0 New England.",100,,this goal should have stood,yes,,
4/22/2026 20:15:07,19,1st Half,Goal scorer was Yusuf.,22,,,,,
4/22/2026 20:15:45,20,1st Half,This is a shame as ATLUTD were playing really well.  We now need to see how Atlanta handles the next few post-goal minutes.,123,,,,,
4/22/2026 20:16:41,21,1st Half,Long delay for the VAR check.,29,,,,,
