Timestamp,Minute,Game Phase,Post,Post Size,Team,Notes,Highlight?,Status,Notes-old
5/2/2026 7:14:39,,Pre-Game,ATLUTD vs Montréal,18,,,,,
5/2/2026 7:15:04,,Pre-Game,"Officials:
Ref: Rubiel Vazquez
Assistants: Nick Uranga, Brian Poeschel
Fourth Official: Joshua Encarnacion
VAR: Lukasz Szpala
AVAR: Jeff Muschik",144,,,,,
5/2/2026 7:20:44,,Pre-Game,"Atlanta United record/home/away: 2-7-1/1-4-1/1-3-0
Montréal record/home/away: 3-6-0/2-1-0/1-5-0
Atlanta United manager: Gerardo Martino
Montréal manager: Philippe Eullaffroy",176,,,,,
5/2/2026 7:21:42,,Pre-Game,"Availability Report
Player | Injury/Suspension | Status
Miguel Almirón | Knee | Questionable
Steven Alzate | Adductor | Out
Sergio Santos | Calf | Questionable
Cayman Togashi | Ankle | Questionable",197,,,,,
5/2/2026 7:39:16,,Pre-Game,https://www.mlssoccer.com/competitions/mls-regular-season/2026/matches/atlvsmtl-05-02-2026,90,,,,,
5/2/2026 18:47:34,,Pre-Game,"Starting lineup - ATLUTD
gk - Hoyos
DF - Mihaj, Gregersen, Amador, Tomás
MF - Muyumba, Sanchez, Miranchuk, Galarza
F - Latte Lath, Saba

bench: Báez, Berrocal, Brennan, Picault, Reilly, Togashi, Fortune, Hibbert, Edwards",220,,,,,
5/2/2026 18:51:53,,Pre-Game,Montréal out to warmups first,29,,,,,
5/2/2026 18:58:12,,Pre-Game,ATLUTD came out to warmup a full 10 min after Montréal did.  left early as well.  Fully warming up for about 15 min.  Montreal used the full 30.,59,,"I do think this had an impact, with ATLUTD starting the game cold.",yes,,
5/2/2026 19:08:18,,Pre-Game,something I've always noticed is how ATLUTD will separate two groups in warmups - the starters vs the bench players.  Montréal do not.  All players are out there together.,171,,,,,
5/2/2026 19:29:40,,Pre-Game,"Tonight will be the main test.  Can the Five Stripes get 3 in a row?  Even if not, it needs to put in a worthy performance.",123,,,yes,,
5/2/2026 19:30:18,,Pre-Game,Latte Lath is getting the start.  He 100% needs to put in a performance worthy of the start.  He has Togashi waiting in the wings.  And fans have lost patience.,160,,,yes,,
5/2/2026 19:32:27,,Pre-Game,"Montréal fired their coach 2 games ago.  Their assistant coach took over, and has 2 wins in a row.",98,,,yes,,
5/2/2026 19:40:53,,Start 1st Half,start,5,,,,,
5/2/2026 19:42:05,1,1st Half,teams feeling each other out.  both have pressed.  neither have gotten into the box.,84,,,,,
5/2/2026 19:43:19,2,1st Half,"Mihaj calmly walking the ball out of the box, starting things slow - daring Montréal to get it.  ATLUTD do not get the ball out of their half in the next sequence.",163,,he didn't start off well,yes,,
5/2/2026 19:43:48,3,1st Half,pressure on Mihaj causes him to put the ball out.,49,,again,,,
5/2/2026 19:44:41,4,1st Half,Montréal passes back to the keeper.  Latte Lath presses hard on the keeper.  They collide and the keeper goes down easily.  Latte Lath gets a 🟨.,145,,He was eager early,,,
5/2/2026 19:46:37,6,1st Half,Montréal keeping the ball in the air.  ATLUTD doing what they can to press hard on every ball.,94,,,,,
5/2/2026 19:47:46,7,1st Half,"Mihaj with a terrible pass.  From the ATLUTD back line, passes directly to a Montréal player at the top of the box ( Owusu ).  He passes to his left, Longstaff, who shoots to the left corner.  Too far for Hoyos to reach.  Montréal 1-0",234,,"The only ATLUTD he could have been passing to was Muyumba at the top of the box, who was marked.  But he passed directly to the Montreal player.  Couldn't have made a worse pass.  Worse, he didn't recognize the error immediately",yes,,
5/2/2026 19:48:45,8,1st Half,ATLUTD unable to clear at the moment.  Montréal getting to everything.,70,,,yes,,
5/2/2026 19:50:30,10,1st Half,"ATLUTD playing keep, playing to counter.  Montréal playing keepaway.",68,,,,,
5/2/2026 19:50:41,10,1st Half,game is being played in atlanta's half,38,,,yes,,
5/2/2026 19:51:29,11,1st Half,"Galarza takes down Montréal player outside the arc.  It's too high, and is called for the foul.  That came after Muyumba did a great slide tackle to stop an attack.",164,,,,,
5/2/2026 19:51:59,11,1st Half,Montréal do not clear the wall.,31,,,,,
5/2/2026 19:52:38,12,1st Half,"Hoyos having difficulty on a goalkick, trying to pick his pass.",63,,,yes,,
5/2/2026 19:53:22,12,1st Half,Montréal get a corner.  This game feels like it could get ugly.  ATLUTD chasing ghosts.,87,,,yes,,
5/2/2026 19:54:29,14,1st Half,Jaime presses hard on the goalkick.  Forces Stian to pass across goal to Hoyos.  Jaime continues his run and nearly gets the ball off Hoyos.,140,,,yes,,
5/2/2026 19:55:02,14,1st Half,Mihaj strips the ball from Montréal player.  Starts Atlanta attack.,67,,,,,
5/2/2026 19:55:43,15,1st Half,"ATLUTD finally get into the box.  Saba floats a ball Gets close to Latte Lath, but the keeper collects.",103,,,,,
5/2/2026 19:56:21,15,1st Half,Amador good ball over the top.,30,,,,,
5/2/2026 19:56:44,16,1st Half,Collision in the middle seems Muyumba crumble to the ground.  No foul.,70,,,,,
5/2/2026 19:57:14,16,1st Half,Miranchuk coming back to the halfline to get the ball,53,,,,,
5/2/2026 19:58:16,17,1st Half,"Jaime running, hits the ball back to Petrasso - ball over the top for a free running Jaime.  Stian Gregersen comes out of nowhere to clear the ball and prevent a shot.",167,,,yes,,
5/2/2026 19:58:51,18,1st Half,"Atlanta leaving Jaime open again on the left wing.  he is getting all kinds of room, gets into the box.",103,,,,,
5/2/2026 19:59:26,19,1st Half,Mihaj seems to be telegraphing every pass.  May be unsure of himself.  Ends up passing to his 2nd choice.,105,,,yes,,
5/2/2026 19:59:49,19,1st Half,Montréal in fulll control of midfield.  ATLUTD have no discernable shape.,73,,,yes,,
5/2/2026 20:00:50,20,1st Half,"Tomás passes to Miranchuk.  He's under immediate pressure, but megs his mark to pass back to Tomás.  He's taken down.  Piette for Montréal gets a 🟨.",149,,,yes,,
5/2/2026 20:01:45,21,1st Half,Gillier is taking his sweet time on goalkicks.  The crowd is booing him with every touch.,89,,,,,
5/2/2026 20:02:28,22,1st Half,Sanchez looks to be man-marking Piette,38,,,,,
5/2/2026 20:03:23,22,1st Half,Saba makes a run into the middle which Mihaj sees.  Long ball over the top - Saba peels away and leaves it for Montréal.,120,,bad movement from Saba,,,
5/2/2026 20:04:00,23,1st Half,"Miranchuk with an amazing no-look turn behind him to Tomás.  He crosses into the middle, just misses Latte Lath.  Great sequence.",129,,,yes,,
5/2/2026 20:04:55,24,1st Half,Stian prevents Jaime from taking another shot.  The ball falls to Piette who shoots.  Bounces off the post and goes out.,120,,Stian good with this out of nowhere defensive moments,,,
5/2/2026 20:05:48,25,1st Half,ATLUTD have been growing into the game - slowly.  Still seem shaky.,67,,turning it around,yes,,
5/2/2026 20:06:56,26,1st Half,Tomás passes to Miranchuk on the wing..  Cross loked dangerous.,63,,,,,
5/2/2026 20:07:25,27,1st Half,"Saba chases a loose ball in the box, shoots quickly.  It's put out for a corner.  Atlanta's closest chance.",107,,,,,
5/2/2026 20:08:13,27,1st Half,Atlanta have now gotten into the box in 3 successive sequences.,63,,ATLUTD in full control now,yes,,
5/2/2026 20:09:30,29,1st Half,"Galarza to Amador, back to Galarza.  Amador is knocked down from behind.  He's knocked into a player who knees him into the head.",129,,,,,
5/2/2026 20:10:24,30,1st Half,Atlanta couldn't get the ball into the box.,43,,,,,
5/2/2026 20:10:38,30,1st Half,"Ball circulating around.  Falls to Galarza at the top of the box.  Shoots, just over.",85,,getting plenty of looks,,,
5/2/2026 20:12:35,32,1st Half,Montréal breakaway.  Owusu and Stian in a duel.  Gregersen goes down calling for treatment.  Holding his ankel.,111,,,,,
5/2/2026 20:14:23,33,1st Half,Several ATLUTD players using the break in play to get together and talk tactics.  Including one coming off the bench to talk to Saba.,133,,this was interesting,yes,,
5/2/2026 20:16:29,36,1st Half,Montréal score - but Owusu was offsides.  A good thing as he was completely unmarked in the box.,93,,,,,
5/2/2026 20:17:19,36,1st Half,Muyumba to Sanchez in the middle.  Sanchez takes it up and to the left in a hurry.,82,,Sanchez looking sharp,,,
5/2/2026 20:18:01,37,1st Half,"Montréal shot.  it's partially blocked by Mihaj.  Shot is then blocked by Hoyos, Amador finally clears.",103,,,yes,,
5/2/2026 20:19:25,39,1st Half,"Montréal with a goal kick.  Gillier passes badly to Sanchez at the top of the box.  He wasn't expecting it, and hesitates before shooting.  The chance too late and it's blocked.",177,,his one off moment tonight,,,
5/2/2026 20:19:58,39,1st Half,"In the middle, Amador and Muyumba going for the ball.  Owusu also in the mix.  Amador gets the worst of it and goes down.  ATLUTD free kick.",140,,,,,
5/2/2026 20:22:26,42,1st Half,"Saba running from left to right in the box.  He shoots, but it's a weak shot.  Gillier fumbles!  It continues to roll in.  goal!  ATLUTD 1-1.  The initial ball came from Amador, then Alexey, to Saba.",199,,,yes,,
5/2/2026 20:23:13,42,1st Half,"Montréal attack, shot from the arc.  Stian with a long slide to block it",72,,,,,
5/2/2026 20:25:23,45,1st Half,Mihaj with the ball.  Owusu knocks him down from behind.  Owusu has been doing this repeatedly tonight.  He sees 🟨 for this.  Good on the Ref who warned him the last time.,172,,I thought he'd see red,,,
5/2/2026 20:26:07,45,1st Half,Montréal attack down the right.  Galarza fouls the player for a foul.  All ATLUTD players defending the free kick.,115,,,,,
5/2/2026 20:26:09,45,1st Half,6' ET,5,,,,,
5/2/2026 20:26:41,46,1st Half,"Owusu and Tomás fighting for the ball.   Tomás shoves Owusu hard as he goes out, and stares Owusu down.  This is getting chippy.",128,,,yes,,
5/2/2026 20:27:30,47,1st Half,Montréal are going to have to sub Owusu out soon.  He's got the redmist.,72,,,,,
5/2/2026 20:28:06,47,1st Half,"Latte Lath gets the ball at the arc, runs right.  Shoots hard to the left, into Saba.  It goes out.",99,,,,,
5/2/2026 20:30:43,50,1st Half,Atlanta don't want this half to end - they are in full control.,63,,,,,
5/2/2026 20:31:21,50,1st Half,"Stian passes to ELL, but it's behind ELL.",41,,,,,
5/2/2026 20:32:17,51,1st Half,"ELL finally scores!
ELL receives the ball at the arc.  He fakes a shot - but passes to Miranchuk.  Miranchuk passes back to ELL. One time shot, score!  ATLUTD 2-1",157,,"After ELL passed, he stoped running",yes,,
5/2/2026 20:32:32,52,1st Half,The entire ATLUTD bench run to ELL in the corner!,49,,,yes,,
5/2/2026 20:32:42,52,1st Half,This is the way to keep your starting job.,42,,,yes,,
5/2/2026 20:33:27,53,Halftime,halftime,8,,,,,
5/2/2026 20:34:58,,Halftime,The whistle is blown for the half.  The Atlanta United players again form a huddle around ELL.,94,,,,,
5/2/2026 20:37:28,,Halftime,All stats go out the window at this point.  The story is a Latte Lath goal in the 6th min of stoppage.  To be a fly on the wall during the halftime talk.,153,,,,,
5/2/2026 20:39:34,,Halftime,"The only critique on the goal - when Latte Lath passed to Miranchuk, he stopped running.  The back pass caught him a bit off guard and he had to start running again.",165,,,,,
5/2/2026 20:49:02,,Halftime,"Player Impressions
Gillier - not having a great game.  having trouble with his distribution
none of the defenders having a great game
Muyumba - growing into the game.  but nothing spectacular
Galarza - just ok.  not influencing team-play
Miranchuk - he is on fire.  2 assists.  Near perfect so far.
Saba - his normal, but somewhat effective so far
Latte Lath - he scored.  enough said",382,,,,,
5/2/2026 20:49:05,,Start 2nd Half,start,5,,,,,
5/2/2026 20:50:04,46,2nd Half,ATLUTD condensing the pitch vertically,38,,tactics change at 1/2,,,
5/2/2026 20:50:41,47,2nd Half,no changes for either team at the half,38,,,,,
5/2/2026 20:50:49,47,2nd Half,"Montréal get into the box, and get a corner",43,,,,,
5/2/2026 20:52:24,48,2nd Half,"Montréal trying left, then right, then left.  back to keeper, then right.  ATLUTD very tight, preventing options",112,,,,,
5/2/2026 20:52:52,49,2nd Half,"Piette to Owusu, a nifty backheel from Mihaj to steal the ball",62,,,,,
5/2/2026 20:54:09,50,2nd Half,"Sanchez steels the ball, pushing over a Montréal player (Petrasso) in what could been a foul.  He passes left to Saba.  Shot over Gillier for his 2nd goal of the night!.  Saba TIME.  Atlanta 3-1",192,,,yes,,
5/2/2026 20:55:28,51,2nd Half,Atlanta is feeling it now.  everyone tryiing to get up toward the Montréal box.,79,,,yes,,
5/2/2026 20:57:00,53,2nd Half,Montréal long ball high into the box.  Amador reads it and clears.,66,,,,,
5/2/2026 20:57:19,53,2nd Half,Galarza beautiful ball up high to ELL,37,,,,,
5/2/2026 20:57:38,54,2nd Half,"Saba takes a shot, blocked from the 18",38,,,,,
5/2/2026 20:58:01,54,2nd Half,Muyumba slide to steal the ball.  beauty,40,,,,,
5/2/2026 20:58:30,54,2nd Half,"ELL gets the ball, tries to dribble through 3 different Montréal players.  He's bodied over.  Clean",99,,issues,,,
