Timestamp,Minute,Game Phase,Post,Post Size,Team,Notes,Highlight?,Status,Notes-old
,,Pre-Game,ATLUTD vs LA Galaxy,19,,,,,
,,Pre-Game,"Officials: - wearing neon orange tonight.
Referee: Fotis Bazakos
Assistants: Jeffrey Swartzel, Nick Balcer
Fourth Official: Sergii Demianchuk
VAR: Kevin Terry Jr.
AVAR: Tom Felice",179,,They would become a factor tonight,,,
,,Pre-Game,"LA Galaxy Availability Report
Player | Injury/Suspension | Status
Julian Aude | Ankle | Out
Joao Klauss | Foot | Out
Matheus Nascimento | Thigh | Out",149,,,,,
,,Pre-Game,"ATLUTD Availability Report
Player | Injury/Suspension | Status
Miguel Almirón | Knee | Questionable
Steven Alzate | Adductor | Out
Ronald Hernández | Abdomen | Questionable",172,,Miguel didn't even make the bench.  Amid rumors.,,,
,,Pre-Game,https://www.mlssoccer.com/competitions/mls-regular-season/2026/matches/atlvsla-05-09-2026,89,,,,,
5/9/2026 18:58:48,-42,Pre-Game,ATLUTD will play its next home game in 97 days.  This is due to the World Cup.  The grass is being removed after this game.,123,,left the fans in a bad note,yes,,
,,Pre-Game,"From Doug Roberson:
Following the exit from Concacaf Champions Cup, the Galaxy have slowly picked up results and performances. They have shifted from being a very ball-oriented team to a more compact, defensive-structured team that focuses on allowing the front players to try to gain advantages with their quality. They regularly have less than 50% of the ball in games.
Build-up usually starts from central defenders, with a comfort factor with both Jakob Glesnes and Justin Haak or Carlos Emiro Garces trying to start each phase.

Fullbacks are very attack-minded, but the left back can also stay low to build in a back-three system.

Edwin Cerrillo usually anchors the midfield (Haak can also play there ) and is always an option to try to control play. Ahead of him and dependent on where Marco Reus plays, they have dangerous attackers with pace and abilities to take players on.

Both wide players, Joseph Paintsil and Gabriel Pec, will run off the ball behind defenses.

Joao Klaus is key for them if fit because he provides a platform, is an excellent goal-scorer and always has a desire to get in the box.

Reus gets given ball by all the players because he is the cog of the team showing how easy the game looks like with short, simple passes and movements.
They look to spend a lot of time in the mid-block as a default.
Attacking transition: Very dangerous with pace and power. Wide players extremely dangerous breaking quickly and directly, often linking with Klaus and though Reus passing range.",1510,,,,,
,,Pre-Game,LA begin warmup with 25' remaining,34,,,,,
,,Pre-Game,ATLUTD come out for warmup.  22' remaining.,43,,2nd time ATLUTD has come out late to warm-ups.  A worrying trend.,,,
,,Pre-Game,Fafà Picault recevied a jersey on pitch representing his 250th match.,69,,,,,
,,Pre-Game,ATLUTD warming up with long balls,33,,,,,
,,Pre-Game,"Galaxy warming up with a very large game of keepaway.  Between each drill, they are doing leg stretches.",104,,,,,
,,Pre-Game,"Hoyos came out of warmup early.  slowly walking ot the tunnel, with about 5' to go.",83,,,,,
,,Pre-Game,"ATLUTD wearing the Spirit of 96 kit.  LA in blue.  The refs, in neon orange, will not be mistaken.",98,,,,,
5/9/2026 19:41:16,0,Start 1st Half,start,5,,,,,
,1,1st Half,LA begin with a long ball into the box.  They hope to put ATLUTD on the back foot.,82,,,,,
,5,1st Half,"Saba gets the ball up the right.  the crowd dcheers.  He turns in the corner, sees no one.  And has to take it slowly before passing, when ELL finally catches up",161,,This was a game where ELL had to impress,,,
,7,1st Half,LA is trying to stretch the game wide.,38,,they played htis way all game,,,
,8,1st Half,"ELL received the ball at the half line.  Passes in front of Saba.  They run in tandom towards the box.  ELL veers to the 6.  Saba in the corner.  They can't sync up, but it looked good",184,,,yes,,
,9,1st Half,Paintsil brings the ball into the corner and then towards goal.  He can't do anything with it as Stian tracks him the full way and puts it out.,143,,,,,
,10,1st Half,Tomás goes in for a long slide and prevents a cross.,52,,,,,
,11,1st Half,Miranchuk receives under pressure - taps to Tomás who pops it over the top back to Miranchuk.  Nice teamwork,108,,,yes,,
,12,1st Half,Báez prevents an LA break,25,,getting better on defense,yes,,
,13,1st Half,ATLUTD keeping the ball in LA 's half,37,,,,,
,14,1st Half,Tomás on the right passes to Saba on the arc.  He twists and tries a volley which goes over.,92,,,yes,,
,15,1st Half,"an ATLUTD player puts a ball too far over the top, and it goes out.  Cooper turns and tells his teammates to calm down.",119,,showing early leadership,,,
,16,1st Half,ATLUTD content to play a slow buildup.  The Galaxy don't want to press.,71,,,,,
,17,1st Half,"long ball finds Paintsil.  He gets into the box.  Stopped by Stian, and then stripped of the ball by Tomás",106,,,,,
,18,1st Half,Sanchez fouls LA,16,,,,,
,19,1st Half,ATLUTD backline to midfield working well as a group,51,,,,,
,19,1st Half,Tristan long ball to Saba - goes under his foot and out,55,,technical limitations,,,
,20,1st Half,Berrocal reads a throughball and prevents a breakaway,53,,,,,
,21,1st Half,Sanchez ball finds ELL in the box. He can't keep it at his feet,63,,technical limitations,,,
,22,1st Half,"Saba in the box, turns left, then right.  Shoots just wide across goal.",71,,,yes,,
,23,1st Half,"Báez one touches a long ball, prevents a run",44,,,yes,,
,24,1st Half,"ELL along the ATLUTD 18, breaking up a play.  Not sure why he's there.",70,,,,,
,25,1st Half,"ATLUTD have had several corners, but not making the most of them.  LA is the first to each.",91,,reoccurring theme,yes,,
,26,1st Half,Cooper Sanchez with a slide tackle from behind strips the ball from a player.  It goes up pitch to another.  Stian takes his down and gets a 🟨 for it.  He wasn't happy about the call.,184,,the start of the cards,yes,,
,27,1st Half,LA player goes down after the play holding his head.  The Ref gives Cooper a 🟨.  Several ATLUTD players discussing it with the Ref.,132,,no one was happy here,yes,,
,28,1st Half,Pec goes down.  This time Berrocal sees 🟨.,43,,,yes,,
,30,1st Half,LA keeper holds onto the ball too long.  Galarza nearly strips it off him.,74,,,,,
,31,1st Half,"ELL is playing too deep.  Wants to get the ball, but isn't there for distribution.",82,,playing out of position,,,
,32,1st Half,LA send a cross along the 6.  Ahead of the target.  First real sign of danger.,78,,,yes,,
5/9/2026 20:14:16,33,1st Half,ATLUTD player goes down.  Ref indicates his head.  It was ELL.  ATLUTD players are asking for a card.,101,,,,,
5/9/2026 20:15:32,34,1st Half,ATLUTD are playing frustrated right now.  Losing their tactics,62,,this carried over into the 2nd,yes,,
5/9/2026 20:18:07,37,1st Half,Tristan gets into the box.  But kicks right into an LA player.,62,,,,,
5/9/2026 20:18:19,37,1st Half,Galaxy now pushing up field.  ATLUTD have lost all control,58,,,yes,,
5/9/2026 20:19:28,38,1st Half,"Ball comes across the box - Hoyos stops it.  It bounces forward.  It's a race between him, Berrocal, and LA to get to the ball first.",133,,,yes,,
5/9/2026 20:21:25,40,1st Half,"Miranchuk breaks up a play in midfield.  He, Sanchez, ELL go up on a 3-on-3.  ELL can't get past his man.",105,,,yes,,
5/9/2026 20:21:32,40,1st Half,ATLUTD corner,13,,,,,
5/9/2026 20:21:36,40,1st Half,ATLUTD goal.  1-0.  Berrocal with a backdoor header.,52,,need to see film,yes,,
5/9/2026 20:22:23,41,1st Half,There is immediate question  - it looks offsides.,49,,Immediate confusion.  stadium announcer delays his call.  ,,,
5/9/2026 20:22:50,42,1st Half,"It has been ruled offsides.  No, Galarza was offsides, and blocking the keeper.",79,,GK should have done much better in reading hte flight of hte ball.  But was impacted by Galarza,yes,,
5/9/2026 20:23:49,43,1st Half,Tata just stepped onto the pitch.  Ref stopped the game to send him back.  The bench received a 🟨.,99,,,yes,,
5/9/2026 20:25:30,44,1st Half,ATLUTD trying to regain their composure.  Their halftime will be a lot of primal screams.,89,,,yes,,
5/9/2026 20:26:32,45,1st Half,3' stoppage,11,,,,,
5/9/2026 20:27:53,47,1st Half,"Everyone going to ground now.  Tackles, slides, trying to get cards from the Ref.",81,,,yes,,
5/9/2026 20:28:23,47,1st Half,Now the LA bench gets a 🟨,26,,,yes,,
5/9/2026 20:29:43,48,Halftime,the full ATLUTD team wants to discuss things over with the Ref at the whistle,77,,,yes,,
5/9/2026 20:30:01,49,Halftime,The LA coach walks up to the Ref.  He's warned to go back.,58,,,,,
5/9/2026 20:30:27,,Halftime,Neither side is happy with the Ref tonight,42,,,yes,,
